776898363392299009	A follow up on #Health #Canada's #cannabis surveys that many of you took time to fill out: https://t.co/RtE6cUnoPv https://t.co/JvesnYHzEJ	2	Nelson, British Columbia
776855638689316865	But weed ain't legal? https://t.co/XircTUcWaa	2	My bed fawk you mean
776848535610281984	@DanaLarsen hey bro never got any seeds before your arrest can you help me!#overgrowcanada#weed# legalization# legalize it	2	Canada
776604313493864448	Trudeau on his mission to legalize marijuana should keep it simple and carry a file around Parliament labelled : 'instagram'.	2	St. John's, Canada
776568917292490752	Bill Maher show. Bryan Cranston : We should legalize marijuana and prostitution. Great way to diffuse political point.	2	unknown_location
776320591309570048	Why the DEA and HHS Should Be Abolished https://t.co/Qa2zZ9wpWu	2	The Americas
776209317015859200	Pot in the patch: What marijuana legalization could mean for workplace safety https://t.co/BGeW0I1qyw	2	Calgary, AB
776126230223462401	@joerogan Alcohol industry bankrolls fight against legal pot in battle of the buzz https://t.co/XpVIiHrvSu by @lhfang	2	Vancouver
776063597042552833	:maple_leaf:When cannabis legal in Canada:Canada:, legislation being prepared, would you consider Columbian :hot_beverage:️:hot_beverage:️,Vancouver smoke :face_with_tears_of_joy: https://t.co/UH1iDRqaUi	2	LONDON , Ontario , CANADA
775903831884300288	Worth the headache? Why banks are shying away from pot-related clients https://t.co/vHBT6wXmSw	2	Edmonton, AB
775900818323206148	The average legal #marijuana user in Wash: 37yrs, spends $647 a year on weed... https://t.co/Ic2ZBMk9vY via @business	2	Edmonton, AB
775825446353051652	Pioneering work to legalize pot will produce 'surprises,' task force head warns https://t.co/qeCbPnF9rm	2	Manitoba, Canada
775801197898833921	@RBC drops pot clients, so it can better serve money laundering VIPS &amp; tax evaders. #bcpoli #HALT #foreignowned https://t.co/rc79ogDDzT	2	Vancouver, Canada & Beyond...
775754466578485248	Calgary head shop hopes to branch out with pot legalization https://t.co/0ENQsaeLS4	2	Calgary, AB
775752748159598592	@Anntwerp it is time to legalize pot, prohibition on it is useless, filling our jails with non violent "criminals" , #Ridiculous	2	unknown_location
775522056138096644	My cynical guess at this point is electoral reform = online voting and marijuana legalization = partial decriminalization. PROVE ME CYNICAL!	2	Toronto
